endTime,artistName,trackName,msPlayed,uri
2023-03-01 15:01,Leo Rizzi,No siempre quedará París - Remix,177244,4TPugCH4s6bRqhWhGkb2qw
2023-03-01 15:05,ROSALÍA,Abcdefg,1429,5EbsCDXjzmwtHm70q87VHt
2023-03-01 15:05,TINI,Muñecas,1087,1PAvhqefivTNdxZ4u8RT1d
2023-03-01 15:05,Eslabon Armado,24 Horas,2090,0T8lt51Lvj1OAj750PH6X9
2023-03-01 15:05,Anuel AA,Hasta Que Dios Diga,218282,06s3QtMJVXw1AJX3UfvZG1
2023-03-01 15:05,Dano,Santo Grial,1215,5glEywhgiNEk1GbEqcWfiO
2023-03-01 15:05,La Joaqui,Mañosa,810,6ELw0p5THiGQxrJnQnmwCq
2023-03-01 15:05,Ed Maverick,Fuentes de Ortiz,1152,0akyEssGRVHstqCSWXusJL
2023-03-01 15:41,Rita Payés,Algo contigo,49130,3HMuJG1y7pyjg7Rrk17Rsb
2023-03-01 15:41,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",12970,4nrPB8O7Y7wsOCJdgXkthe
2023-03-01 15:41,Morat,Presiento,1280,2V4hc5gplg7EXlrRUvD4rp
2023-03-01 15:45,Aitana,Vas A Quedarte,1450,2b3JxLi8KAiOsD8ehnOxDZ
2023-03-01 15:56,TINI,Muñecas,156318,1PAvhqefivTNdxZ4u8RT1d
2023-03-01 16:02,TINI,Carne y Hueso,178309,3yeFTYLMz4nOtyPXWEMKsW
2023-03-01 16:19,TINI,Miénteme,165275,0cOa970mzTWAxKtltpkpLc
2023-03-01 16:22,TINI,Bar,2538,0lJE8f0lx8mUSfMyxeYpiC
2023-03-01 17:20,TINI,Carne y Hueso,1536,3yeFTYLMz4nOtyPXWEMKsW
