artist,album,track,uri
Maggie Lindemann,Pretty Girl,Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9
nilu,Are You With Me,Are You With Me,2NTww3JSBHpySR2plYyAd6
Jeremy Zucker,love is not dying,comethru (bonus track),1pV9TLnQdOHbvourRO7x4m
Alexander Stewart,blame's on me,blame's on me,1veHwv1HPwzOvlhs5jPxeP
Anson Seabra,Feeling For My Life,Magazines,3Amht3EpGYKEYZkafAwibf
Dylan Conrique,birthday cake,birthday cake,7dDrR6vMK1JAwZZ5MIWgme
Vancouver Sleep Clinic,Revival,Someone To Stay,2xlV2CuWgpPyE9e0GquKDN
Finding Hope,Apollo 19,Nightlight,73LdhMZm8CrXJEi2wm6um3
Sleeping At Last,"Covers, Vol. 2",Chasing Cars,2d7LPtieXdIYzf7yHPooWd
Julie and the Phantoms Cast,Julie and the Phantoms: Season 1 (From the Netflix Original Series),Unsaid Emily (feat. Charlie Gillespie),2vEDOWuYM6r2LO9HXI47F1
Tate McRae,you broke me first,you broke me first,45bE4HXI0AwGZXfZtMp8JR
Zac Efron,The Greatest Showman (Original Motion Picture Soundtrack),Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq
Genevieve Stokes,Habits,Habits,4UGvqm3e7UElrrriPtnhwz
Zoe Wees,Control,Control,50Td3qilgs8BLtv8mHyT1t
Sofía Reyes,Mal De Amores,Marte,1uK5rDY3BnikyG0sl3tPpc
Manuel Medrano,Manuel Medrano,Bajo El Agua,5QSYWruQQ7kBCHScI4xJ9g
Anson Seabra,"It's Raining, It's Pouring","It's Raining, It's Pouring",0dhw2WjJZBsbBDv0Ipdgbw
James Arthur,Car's Outside,Car's Outside - Acoustic,0FJlNZyxbicLmzOvNl8PJs
Isak Danielson,Yours,Always,2bdCO4UTMX1ennK2I4rFpD
P!nk,The Truth About Love,Try,1jF7IL57ayN4Ity3jQqGu0
Jeremy Zucker,brent,scared,6r2JV75tE0vNgNCv4HKsBC
Bohnes,Middle Finger - Single,Middle Finger,0IK8y0vAO0sM630HsxwLht
Mau y Ricky,Para Aventuras y Curiosidades,Perdóname,4mivRZXyZbIDecPTiCtOjw
Madison Beer,Selfish,Selfish,4PV0uE5pZSh44E3NqNNDEH
Anson Seabra,Feeling For My Life,Lucky Charms,1Cwg5W2pW4aDvgUnb0PAvL
Rosa Linn,SNAP,SNAP,0QPRDC97rIQB3Jh3hrVJoH
AJ Mitchell,SKYVIEW,Used to Be,6Vt5LdwSUvbcDfWThqnBK5
