endTime,artistName,trackName,msPlayed,uri
2022-06-03 14:20,Sech,Wao,102970,2B4nQ6yvVVBMqfgOrYtubb
2022-06-03 14:21,Duki,She Don't Give a Fo,82197,03a359wbiUsjN9h6yzXvmS
2022-06-03 14:58,WOS,ARRANCARMELO,183547,2x8oBuYaObjqHqgGuIUZ0b
2022-06-03 15:02,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000,2Gq636OOGgxCTqEuzCZhsa
2022-06-03 15:05,Morat,París,182187,3ehHqgYRzmeUi345MfHS2N
2022-06-03 15:06,Polimá Westcoast,ULTRA SOLO,34962,0OTNHGKcqQbk51bOYe462Y
2022-06-03 15:08,Danny Ocean,Fuera del mercado,159849,1UdzJEpgJxtuXAlCOvD4S0
2022-06-03 15:09,Emilia,la balada,48013,5hgjF68xugLDOyLSjfe8QN
2022-06-03 15:11,Mora,TUS LÁGRIMAS,25344,30W8VKHrAZmHzObnwAoc1u
2022-06-03 15:14,TINI,Carne y Hueso,178309,3yeFTYLMz4nOtyPXWEMKsW
2022-06-03 15:21,Bad Bunny,A Tu Merced,80902,4r9jkMEnArtWGH2rL2FZl0
2022-06-03 18:14,WOS,ARRANCARMELO,183547,2x8oBuYaObjqHqgGuIUZ0b
2022-06-03 18:17,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000,2Gq636OOGgxCTqEuzCZhsa
2022-06-03 18:19,Polimá Westcoast,ULTRA SOLO,2751,0OTNHGKcqQbk51bOYe462Y
2022-06-03 18:19,Morat,París,154396,3ehHqgYRzmeUi345MfHS2N
2022-06-03 18:22,Danny Ocean,Fuera del mercado,159849,1UdzJEpgJxtuXAlCOvD4S0
2022-06-03 18:29,Danny Ocean,Me Rehúso,205714,6De0lHrwBfPfrhorm9q1Xl
2022-06-03 18:32,Emilia,la balada,165959,5hgjF68xugLDOyLSjfe8QN
2022-06-03 18:38,Mora,TUS LÁGRIMAS,174482,30W8VKHrAZmHzObnwAoc1u
2022-06-03 18:41,TINI,Carne y Hueso,178309,3yeFTYLMz4nOtyPXWEMKsW
2022-06-03 18:44,Bad Bunny,A Tu Merced,175918,4r9jkMEnArtWGH2rL2FZl0
2022-06-03 18:47,Sech,Wao,178266,2B4nQ6yvVVBMqfgOrYtubb
2022-06-03 18:52,KHEA,Ayer Me Llamó Mi Ex – Remix,253997,59nnGpAU3AiL2tD0o2It11
2022-06-03 18:55,Duki,She Don't Give a Fo,209531,03a359wbiUsjN9h6yzXvmS
2022-06-03 18:58,Daddy Yankee,Salgo Pa' la Calle,1916,5hpwyyJJ2JyozFVVRJsfLp
2022-06-03 18:58,Trueno,BIEN O MAL,176629,4n0MBJuHpZ9dnD1BtsOIxB
2022-06-03 19:00,Luck Ra,Te Mentiría Remix,1408,1txrFHh4XUU3Kp8HcD2TFW
2022-06-03 19:00,Robbie Williams,Rock DJ,1194,4pbyDPjFgfPqFTcIMC8xpK
2022-06-03 19:00,Giuliano Cobuzzi,Cayó la Noche X Soy Peor,140437,0A10irhFqhj5BWWc1q6boi
2022-06-03 19:01,Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",6826,2uky0VCI2EZni0nArOPznM
2022-06-03 22:06,WOS,ARRANCARMELO,183547,2x8oBuYaObjqHqgGuIUZ0b
2022-06-03 22:09,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000,2Gq636OOGgxCTqEuzCZhsa
2022-06-03 22:12,Polimá Westcoast,ULTRA SOLO,14151,0OTNHGKcqQbk51bOYe462Y
2022-06-03 22:12,Morat,París,182187,3ehHqgYRzmeUi345MfHS2N
