artist,album,track,uri
Bruno Mars,Finesse (Remix) [feat. Cardi B],Finesse - Remix; feat. Cardi B,spotify:track:3Vo4wInECJQuz9BIBMOu8i
Gaston Soffritti,Simona (Music from the TV Series),Hoy es sólo hoy,spotify:track:3aGz7HMKwsFVcSNmL1Tuoy
George Ezra,Wanted on Voyage,Budapest,spotify:track:2ixsaeFioXJmMgkkbd4uj1
Dalex,Pa Mí,Pa Mí - Remix,spotify:track:224EVTFiLsdQignUFLvDeH
Grace VanderWaal,Just The Beginning,A Better Life,spotify:track:1rEkvyg3rdnTvmhEASyQmg
Dua Lipa,Future Nostalgia,Levitating (feat. DaBaby),spotify:track:5nujrmhLynf4yMoMtj8AQF
Rusherking,Llegué Tarde,Llegué Tarde,spotify:track:0MU33IBbZtqRcJA3f4fG5M
Paulo Londra,Dímelo,Dímelo,spotify:track:68NhevkESo24f9nTL8fDFP
Calle 13,Entren Los Que Quieran,Muerte En Hawaii,spotify:track:3kNVYo6BJE9AENxzokM9YC
Mitchel Musso,Disney Channel Playlist,Let It Go,spotify:track:4NwKcFVpUB5Hgqiy1zmbCC
Benjamín Amadeo,Vida Lejana,Vida Lejana,spotify:track:4J250FaY4jjZF6bVI1fw98
Conor Maynard,Covers,This Is My Version,spotify:track:5qJZxVKQ8vz9Rak3t4b2VY
Juan Magán,Déjate Llevar,Déjate Llevar,spotify:track:3xWEI23MLJrD0dpDcDUTW6
PRETTYMUCH,PRETTYMUCH an EP,Healthy,spotify:track:74ZGCsRTbnaNDg8cjWSdoR
Wyclef Jean,Divine Sorrow (feat. Avicii),Divine Sorrow (feat. Avicii),spotify:track:5a8aQRGqdXHCoBqmbXIot0
Nicki Nicole,Colocao,Colocao,spotify:track:7MCFjPDImfjQv7GynHgVrR
Carlos Vives,Corazón Profundo (Versión Deluxe),Volví a Nacer,spotify:track:6Al0Kpd4VrRZ0Z4kTThNPa
Piso 21,Ubuntu,Tu Héroe,spotify:track:5ID9OcOU7EwpGYDKzyQHPg
RIVERO,Hardwell On Air - Best Of January 2018,Down Dirty,spotify:track:1pk7AwmbGrueVoXhEMqzQ0
Nick Jonas,Camp Rock 2: The Final Jam,"Introducing Me - From ""Camp Rock 2: The Final Jam""",spotify:track:74tQaH4CxM5Rs9BzerEbHr
Ariana Grande,Sweetener,sweetener,spotify:track:70khXICDeTTxgYtw3EysKH
Bautista Nasta,Ilusiones,Ilusiones,spotify:track:1WpjQ5ZraKQrnsgIVKx1fN
Why Don't We,I Don't Belong In This Club,I Don't Belong In This Club,spotify:track:45ZGEdLxCZvdMX9jWlsAAx
Bizarrap,"Dani Ribba: Bzrp Music Sessions, Vol. 24","Dani Ribba: Bzrp Music Sessions, Vol. 24",spotify:track:6TNuRFdNazLbbVQTRE8pZg
Morat,Sobre El Amor Y Sus Efectos Secundarios... Y Unas Cuantas Cosas Más,Aprender A Quererte,spotify:track:59zFBL3hnDA023j3mSwCSo
Yandel,#Update,Explícale (feat. Bad Bunny),spotify:track:1LszjjoVwDDZcWUQbzeDLG
Piso 21,Ubuntu,Cada Noche,spotify:track:1cwIglC3V5HLILOsEPhJeK
David Guetta,Flames,Flames - Pink Panda Remix,spotify:track:7sdG8n2Q9s8tCM8Wc2Vg1a
Maluma,"Pretty Boy, Dirty Boy",El Perdedor,spotify:track:1iEwyiSLAunPR6uouANE0O
PRETTYMUCH,Me Necesita,Me Necesita,spotify:track:5iubMV6ASiIcsLb0fs6u2y
Cardi B,Please Me,Please Me,spotify:track:0PG9fbaaHFHfre2gUVo7AN
Maluma,Sin Contrato (feat. Don Omar & Wisin),Sin Contrato (feat. Don Omar & Wisin) - Remix,spotify:track:2xNZeeqmwMPVKnD7FSQfgt
Clara Mae,Call Your Girlfriend,Call Your Girlfriend,spotify:track:5hs8G87IGQq0Sz37oY9efX
Madeline The Person,MEAN!,MEAN!,spotify:track:0KQRhak4Irr2CKxgQ9U6ay
Deorro,Bailar (feat. Pitbull & Elvis Crespo),Bailar (feat. Pitbull & Elvis Crespo),spotify:track:1A5yplwEk6cJbAL63L6bkp
Jesse & Joy,Un Besito Más,Me Soltaste,spotify:track:02yD6Wmpx5kLAoXLQOnuEb
Saigo,Corazon Vacio (Remix),Corazon Vacio - Remix,spotify:track:4fNvMSpz4E8Eq4PmjxiiZY
Miley Cyrus,Younger Now,Week Without You,spotify:track:07G5C1wAil4Mp1qjbd3eTR
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),spotify:track:6f5ExP43esnvdKPddwKXJH
Eminem,Music To Be Murdered By,Godzilla (feat. Juice WRLD),spotify:track:7FIWs0pqAYbP91WWM0vlTQ
TINI,Suéltate El Pelo,Suéltate El Pelo,spotify:track:7dK9ncfHtROhbYCtElBqfU
Lali,Brava,Tu Sonrisa,spotify:track:51aZm5RLe6spgobzWMBnWN
Bebe Rexha,The Way I Are (Dance With Somebody) [feat. Lil Wayne],The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,spotify:track:6Pw3Gvw4wNMZfTYZa6IQal
Shawn Mendes,Illuminate,Three Empty Words,spotify:track:1Tt5Leqvv6OawH2jth05Rw
Nelsen,Focus,Focus,spotify:track:7D4KBxYpbsWY4b4c9tJRGR
Pibes Chorros,Pibes Chorros - Criando Cuervos,Que calor,spotify:track:0RDDMvevLZkkBhAHP2mNpb
Paquita La Del Barrio,Taco Placero,Rata De Dos Patas,spotify:track:2okIVxq5V9JDpATsGA3t36
Maxi Espindola,Aliados,Ser Hoy,spotify:track:5P4NG0kQfv9RiG3C2sAms5
Trueno,Azul y Oro,Azul y Oro (Freestyle),spotify:track:6qvjLYh374hUwDg7bSsxog
Atomic Otro Way,Conejita,Conejita,spotify:track:4p7c4p1UMv1zyQqgl7rHPd
Juke Ross,We Never Die,We Never Die,spotify:track:1OfA2pIJafysuWz5WlBEZQ
INZO,Overthinker,Overthinker,spotify:track:4K9xid96G3YmIvQZXN9SXg
La Champions Liga,Cumbia villera - La Champions Liga,Lo aprendio conmigo,spotify:track:01RfdXhRWEifkoxMaNeBcS
Zedd,The Middle,The Middle,spotify:track:09IStsImFySgyp0pIQdqAc
Zac Efron,The Greatest Showman (Original Motion Picture Soundtrack),Rewrite The Stars,spotify:track:65fpYBrI8o2cfrwf2US4gq
Tan Bionica,Destinologia,Ciudad Mágica,spotify:track:1mXK8Cog4ScFTqbdQAzXli
The Lumineers,Cleopatra,Cleopatra,spotify:track:5bzf1xrbqr1ttjAJuRz2xY
KAROL G,Créeme,Créeme,spotify:track:1mT47pKLXUwPYGwB91GcNz
One Direction,Made In The A.M.,Olivia,spotify:track:5dONhl6aXFuN86UBdayF6W
Plain White T's,Every Second Counts,Hey There Delilah,spotify:track:0xM88xobymkMgg46MStfnV
Adele,21,Rumour Has It,spotify:track:2A73XBDBQgmdXO8VsXPWIs
Khalid,Last Call,Last Call,spotify:track:7k0wVBW3cvV6Xmb87JikIf
Fer Palacio,Te Robo - Single,Te Robo,spotify:track:0GgKQVNOLLfgSg2RzH5Gz8
Bazzi,Alone,Alone,spotify:track:1kFToCzZBG7clK0axbKVWH
Maluma,Felices los 4 (4 Versiones),Felices los 4 - Urban Version,spotify:track:6hI9Oa4K5yAeo9VlAxgXEg
Dura DJ,"Y Si el Pueblo Pide, Ponle","Y Si el Pueblo Pide, Ponle",spotify:track:3trtPAjE5SOgE3g9dEBvE3
