trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability
BIEN O MAL,2022-06-02 21:26,Trueno,1276890,4n0MBJuHpZ9dnD1BtsOIxB,176629,64,0.75
Baby I'm Yours,2022-10-20 11:32,Breakbot,222669,0tZkVZ9DeAa0MNK2gY5NtV,215506,69,0.829
Bad Reputation,2023-05-11 10:36,Shawn Mendes,656524,4IqpjoA1UfQ7FiJfMckYra,198213,0,0.557
Baila Conmigo (with Rauw Alejandro),2022-09-10 14:58,Selena Gomez,1685,079Ey5uxL04AKPQgVQwx5h,186087,74,0.823
Bailar (feat. Elvis Crespo) - Radio Edit,2022-10-09 02:26,Deorro,72042,45sGyAtAxD6efaN0bJAFgh,137661,61,0.799
Bajo El Agua,2022-08-26 23:39,Manuel Medrano,699274,5QSYWruQQ7kBCHScI4xJ9g,225838,75,0.616
Bajo La Mesa,2022-07-04 17:08,Morat,2045341,7BEPdOI0neT6p7PnLViqmH,157080,68,0.716
Bajo el Sol,2022-09-13 19:29,Joaco Terán,249827,49ezUAnq94bom9uqxfLmnr,203805,41,0.66
Banana Pancakes,2023-05-11 01:33,Jack Johnson,331113,0BgbobvykXxEvxo2HhCuvM,191906,73,0.814
Bandido,2022-10-09 17:43,Myke Towers,233770,3FiuYGuoADvGBeARUH3XXh,232853,53,0.713
Bar,2022-06-02 00:57,TINI,919093,0lJE8f0lx8mUSfMyxeYpiC,160212,69,0.523
Barrio Prendido - Remix,2022-10-27 13:18,DJ Alex,6292,3xmGbDqvhgv3D1vsAcISJK,208806,37,0.8
Beautiful,2022-06-23 23:37,Tan Bionica,5891422,1OilOIju6R9ia8vilNjChh,178242,0,0.666
Belispeak II,2023-01-12 13:24,Purity Ring,12274,0gsJKBMCq82pUfHDrEoo67,210322,0,0.672
Bella y Sensual,2023-01-09 17:54,Romeo Santos,754010,0ERbK7qVqveCaBWIiYCrl3,204700,75,0.635
Besos En Guerra,2022-06-28 16:31,Morat,3298598,1d0c62VFYauOOgxZ2eFUxx,229442,0,0.686
Best Day Of My Life,2022-07-25 14:28,American Authors,777839,5Hroj5K7vLpIG4FNCRIjbP,194240,82,0.673
Better,2022-10-10 01:56,Khalid,548560,339Y993TrFyWyO438be0RY,229400,60,0.692
Better Days (NEIKED x Mae Muller x Polo G),2022-09-09 22:36,NEIKED,160656,6f5ExP43esnvdKPddwKXJH,160656,80,0.717
Billionaire (feat. Bruno Mars),2023-05-30 17:54,Travie McCoy,14118,2M9ULmQwTaTGmAdXaXpfz5,211160,75,0.633
Blowin' in the Wind,2022-09-08 23:44,Bob Dylan,49619,18GiV1BaXzPVYpp9rmOg0E,165426,70,0.38
Bolivia,2022-06-23 22:47,La Bomba de Tiempo,1229941,2MuDW3QK1SAk35OnTnDLLp,240799,46,0.737
Bonita,2022-09-12 14:58,Cabas,713477,6HNsJQihjxODgGWQafAJau,237335,64,0.716
Breaking Me - HUGEL Remix,2022-10-07 14:21,Topic,80110,0XX5PxqMoXAPxBZ0qYqSwI,171904,65,0.85
Budapest,2022-07-25 13:24,George Ezra,3169230,2ixsaeFioXJmMgkkbd4uj1,200733,82,0.717
Burned,2023-01-12 13:34,Grace VanderWaal,191533,4mz7WAJCJz7QbXsFA2WoXK,191533,61,0.586
Burning Love,2023-03-29 19:03,Elvis Presley,3035944,7akmE0AToGj8eLidXVWoI6,176840,51,0.648
Butterfly Fly Away,2022-11-18 15:00,Miley Cyrus,361744,2ZTCl6wQMDSMfY4s8GHZdj,189240,66,0.607
By Your Side,2023-03-29 19:36,Sade,54121,1Z9DSDnta5xcbLPeUxrQvD,183527,23,0.562
CAMBIANDO LA PIEL,2022-06-09 22:14,WOS,5415183,2y2iEADc8O0Vv5IKHSs21i,158121,65,0.744
CANGURO,2022-06-03 22:47,WOS,3180708,2UAWYufVaO3EnUUNzl0ppO,196745,68,0.602
CONTANDO OVEJAS,2022-06-21 19:09,WOS,5306280,47DL8jY6HJD2mlCcTuOWKX,203468,66,0.459
CONVOY JARANA,2022-06-06 13:51,WOS,4238786,09ZM0SFVkQauSIR5I3aj0g,158123,52,0.742
CULPA,2022-06-03 22:43,WOS,7078264,0BTJ7QpDRjinzAy8KQMAp8,215717,64,0.485
Cae el Sol,2022-09-11 16:00,Airbag,286564,2nBOPYRoAYOwv6go12SQDs,281386,66,0.47
Call Me Home,2023-01-15 15:45,Galantis,0,29W10ucu2eUqLy9eGbE05g,205133,33,0.568
Callaita,2022-08-17 13:47,Bad Bunny,759641,2TH65lNHgvLxCKXM3apjxI,250533,79,0.61
Can't Help Falling in Love,2023-05-12 09:58,Elvis Presley,85758,6VrAgFXBbRX2PkT92lAoKK,135714,59,0.608
Cancion Sin Nombre Numero 157,2022-09-11 23:12,Joshua Dietrich,167695,3iUoXG9YOSC7ydx5FGcw3w,166928,0,0.729
Candy Paint,2022-08-29 15:07,Post Malone,419118,32lItqlMi4LBhb4k0BaSaC,227533,78,0.664
Caraluna,2022-09-10 16:35,Bacilos,825559,4XTMj7kd8DHLl0r7ghmEAr,266160,63,0.76
Carne y Hueso,2022-06-02 01:07,TINI,6012553,3yeFTYLMz4nOtyPXWEMKsW,178309,67,0.582
Casa De Chapa,2022-07-08 17:40,Tiago PZK,6506255,6cF2qsUsTxrgR3g9YGHT2u,153806,50,0.447
Castle on the Hill,2023-03-02 19:57,Ed Sheeran,261153,6PCUP3dWmTjcTtXY02oFdT,261153,82,0.461
Cayó la Noche X Soy Peor,2022-06-02 21:30,Giuliano Cobuzzi,1121702,0A10irhFqhj5BWWc1q6boi,151891,41,0.715
Chachachá,2022-09-11 14:28,Jósean Log,433434,6aommJFM8i3iT4inKuDSXh,215986,79,0.68
Chamaquita,2022-09-24 15:30,Quevedo,6034164,667CH2wRxXnQOfPD1NrlLJ,170699,63,0.686
Chambea,2022-08-19 13:19,Bad Bunny,32148,6ElmxV9B2mSNscEjP27M7i,191999,0,0.854
Chico Estrella,2022-10-20 14:34,Duki,189988,1VYaM9VSix6jth7nXiHvo2,170309,53,0.718
Chino,2022-09-11 14:00,Mancha De Rolando,616896,3i22RR1yUia5ShKujgQcX3,202360,61,0.694
Chiquetere (feat. Rafa Villalba),2022-11-29 13:02,Paskman,334496,1pdsBkhNchpGCQTGoNQXZI,163488,64,0.851
Cigarette Break,2023-03-25 21:41,Gavin James,2121,6N4giKsqtwFjeEc1alG68f,245789,40,0.446
Circles,2022-08-11 16:39,Post Malone,3097510,21jGcNKet2qwijlDFuPiPb,215280,88,0.695
Claramente,2022-06-23 23:03,Chano,2030523,73vVORScUIi8QuYSO7dC47,160800,36,0.466
Clearly,2023-01-12 13:42,Grace VanderWaal,41241,5XBqGcLYOZi8CEW83Ug7Fs,251906,54,0.663
Cleopatra,2022-09-01 12:21,The Lumineers,4621242,5bzf1xrbqr1ttjAJuRz2xY,201413,70,0.536
Colapso,2022-07-17 20:18,Kevin Kaarl,452680,7dT9D6117e5DbhnKxDLNW9,235470,79,0.544
Colocao,2023-03-02 20:11,Nicki Nicole,566514,7MCFjPDImfjQv7GynHgVrR,179966,64,0.811
Come Alive,2023-02-25 14:05,Hugh Jackman,4842,5xNUR50KxswPRAvx7S163g,225933,69,0.702
Come Down,2022-07-17 20:03,Noah Kahan,358026,4QjtXlzepoVp3YXMvwxyyr,179013,56,0.809
Come True,2022-09-08 23:23,khai dreams,203520,7hqL3TkHYyamoTR8mTHbKc,203520,0,0.871
Come and Get Your Love - Single Version,2022-10-11 17:58,Redbone,205933,7GVUmCP00eSsqc4tzj1sDD,205933,82,0.731
Como + Nadie,2022-08-22 13:37,MYA,587324,3TSB6v3t9nmizD5PzyiiFv,183956,50,0.805
Como Mirarte,2023-01-12 09:40,Sebastian Yatra,1621045,0CXEPVeQDLgDBfvcsQpXq1,228080,72,0.347
Complicated,2023-05-12 10:23,Avril Lavigne,7742,44dKnQdajXTe2fM7eGTCMJ,199245,0,0.772
Con Altura,2022-08-19 14:14,ROSALÍA,19050,2qG5sZ7Si6sdK74qLxedYM,161626,77,0.882
Congratulations (feat. Bilal),2022-11-23 12:55,Mac Miller,3784822,1OubIZ0ARYCUq5kceYUQiO,256426,80,0.465
Consejo de Amor,2022-06-27 23:57,TINI,2238658,3za3hxbolwmy9AeUpWzuRE,199720,16,0.475
Contando Lunares (feat. Cruz Cafuné),2023-01-23 11:44,Don Patricio,216853,6uW0PIRcyZLvkoonm763xD,219666,70,0.856
Corazon Vacio - Remix,2023-03-16 21:19,Saigo,2301814,4fNvMSpz4E8Eq4PmjxiiZY,265970,53,0.613
Corazón (feat. Nego do Borel),2023-01-13 11:46,Maluma,9685,5cepAtqnEQ6yVG6088zMMu,184720,72,0.722
Count on Me,2023-03-23 09:45,Bruno Mars,197469,3B5UbSndRz907IZhhmUfLi,197469,71,0.589
Cozy,2023-03-23 09:53,Jacob Sartorius,11285,6c4RrBGXMbzuhj8XwzzWWW,145577,19,0.758
Crazy Rap (Colt 45 & 2 Zig Zags),2022-06-22 13:54,Afroman,2388704,1ACZpHI5vZ5Ea4xGlkdGWM,328666,75,0.927
Creep,2023-06-01 09:57,Radiohead,133539,1ytTeSRAU6IRo2itVDwtPv,238640,0,0.515
Crimen,2022-09-10 22:32,Gustavo Cerati,369895,3oqWr0jDWNXxWufNogGREp,232026,75,0.537
Cristina,2023-01-18 11:18,Sebastian Yatra,604878,1Kjer1JoWuJGNwGV6Pbgv1,202040,62,0.649
Cristina (feat. Shelow Shaq),2022-08-18 14:03,Maffio,88193,2egI1hFZDAYrkCgtepoore,186893,60,0.861
"Cuando Amanezca (feat. Danny Ocean, Justin Quiles, Feid)",2023-03-23 09:57,Nibal,4053,0yx82WHSiVRekLwqfxQkvJ,187492,52,0.695
Cuando El Amor Se Escapa,2022-11-28 22:06,Morat,2154,7ad3XBdqiGoGIuJ836YWr5,176121,64,0.665
Cuando Nadie Ve,2022-06-28 13:09,Morat,3887190,71iAechwVKGu26pahzFL0k,219586,80,0.806
Cuerpo en Venta,2023-02-07 13:02,Noriel,2497,2B94bbI1a4LyBpK1439oP7,254413,66,0.696
Cuánto Me Duele,2022-06-28 13:15,Morat,1686862,3TBEshazoaGvpP6yeVUR4D,229859,0,0.598
Cómo Te Atreves,2022-06-21 18:35,Morat,3718949,2z0EshEO4XptiepEb9j3Og,240560,0,0.617
Cúrame,2022-08-18 14:17,Rauw Alejandro,46089,3PwRuzdphgedcWVUOVYJ7I,164705,4,0.765
DANCE CRIP,2022-08-13 04:32,Trueno,126010,1kjs5eR4DMzyB0gm1Z8waV,165019,68,0.857
DESAFIANDO EL DESTINO,2023-05-10 19:12,Maria Becerra,3606656,4rBQxFVwTnf99p818azSon,192703,74,0.446
Dancing On My Own,2023-05-15 10:36,Calum Scott,262951,2BOqDYLOJBiMOXShCV1neZ,260285,82,0.681
Dancing Queen,2023-01-13 11:43,Colin Firth,170169,3zZ6W6T7TuGJmcyvZ5VRlo,221093,58,0.622
Dando Vueltas,2023-02-25 09:26,Zeballos,3675877,314FEi04GJLNc89wCZVanH,121974,42,0.636
"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",2022-07-12 16:53,Bizarrap,2773,1jKq6jcjPAd2awwuYiPswp,137365,53,0.924
Darkness Keeps Chasing Me,2023-01-15 15:45,Grace VanderWaal,0,3P19NoMAGg72XG22EOf4zm,281693,36,0.293
De Vacaciones,2022-06-10 14:09,FMK,4610667,0hRKaSIym7bBRZ5oXLUsfx,141702,57,0.686
Del Estadio Al Cielo,2022-07-05 19:05,Morat,828533,4mRuM1hYY9u4YLo6RX9YVk,234500,0,0.533
Demasiadas Mujeres,2022-06-22 13:41,C. Tangana,9408421,3GaGWoU1KfVqgl7vnRHP55,153960,78,0.658
Demasiado Loco,2022-06-22 13:44,Paulo Londra,1148581,1algWk375QvT1XNJJbRsGM,166548,69,0.824
Desaparecer,2022-08-17 13:17,Mora,167189,3GWgAfiUspe7MhlQ1fCQiF,213153,33,0.482
Devuélveme El Corazón,2023-01-18 11:14,Sebastian Yatra,590396,7etlF1zMxJbiaeQrXYh0PY,243426,67,0.59
Distraction,2022-06-04 16:29,Polo G,2532489,1oc92BMKYkNxK17C2GtyRM,171319,71,0.713
Doing Good,2023-03-23 19:45,Milky Chance,12479,34eGAGPZsfuYf3EiNnWS7E,250586,46,0.71
Duele Querer,2022-07-17 20:08,Ozuna,480160,5Jynf1ofxdGcXWfkgWZhDc,120040,46,0.494
Déjame Ir,2022-06-27 16:53,Andrés Cepeda,2377276,3nymR2pRbiDq89qS2osIVX,232743,56,0.3
Déjate Querer,2023-01-18 11:14,Lalo Ebratt,33002,3mN2DtljBhnrIpc3Nu2pJ8,202823,62,0.755
Día y Noche,2023-01-12 13:24,MYA,575,2NZ4Lg677xRbdrlFMOPTcF,195117,33,0.76
ECLIPSE,2023-03-24 15:40,KHEA,2278964,3mEb7NQ4pCQ7Rwy9RVC2eq,153837,62,0.565
EL TONTO,2023-04-14 15:22,Lola Indigo,90446,0OqoRBKlvRZarXZqE7AH7z,188087,77,0.801
Easy On Me,2022-06-28 19:43,Adele,1343180,46IZ0fSY2mpAiktS3KOqds,224694,84,0.604
Eclipse,2022-07-27 21:55,Zeballos,13183079,2YqdfLhtJKoXQQLwy4nvqd,241058,3,0.687
El Cielo a Mi Favor,2022-12-18 03:29,Ricardo Arjona,1737634,0BJwrbkZKf7KwlwBOJbD8i,228493,60,0.343
El Fantasma,2022-09-11 23:39,Árbol,489624,0N361WhEqVunVl5ZBkfd70,237800,65,0.62
El Perdedor,2023-01-21 18:38,Enrique Iglesias,88318,1iEwyiSLAunPR6uouANE0O,206693,75,0.702
El Rehén,2023-01-12 13:25,Xantos,2794,1vJxPaXsZUXqSIBVFgtebF,189191,30,0.803
El Viejo,2022-09-10 20:44,La Vela Puerca,563523,7gKqjNMM4ikt7KFTRsgZgL,187066,64,0.699
El viaje,2022-10-05 21:04,Felipe Barrenechea,478303,1Q4sh2qHtUxujMkQ536QAO,317254,9,0.812
Elena,2023-01-25 17:31,Sebastian Yatra,155093,0c8JmuKzaREJu3kUqoBfmo,155093,48,0.414
Ella,2022-09-13 19:29,La Beriso,5574524,5aVhIDZmDeMt2C2ZMX5KoH,227866,61,0.632
Ella Dice,2023-03-08 09:40,TINI,698525,5UKBbglwH7gZEkzfuWGn5J,161060,8,0.838
Ella No Es Tuya - Remix,2022-10-09 17:37,Rochy RD,893813,5YYW3yRktprLRr47WK219Y,218106,71,0.585
En Guerra,2023-01-12 09:36,Sebastian Yatra,886354,6dJPqP0gHP6iAZuIk1njBs,221386,66,0.394
En Un Sólo Dia,2022-06-28 12:56,Morat,2533421,0epE322eIwbGrlZxkqpzun,202120,0,0.616
Entre Nosotros,2022-06-10 18:46,Tiago PZK,723277,6w8yBI2vthyN9UnwO4UBWb,192352,73,0.729
Entre Tú y Yo,2022-10-07 14:31,Chema Rivas,224000,1nxlRYbM2Ral4im0LExtZY,224000,0,0.854
Eres Tú,2022-07-04 16:54,Morat,935066,5MN6TXwzNqYBg3jikXuvAl,205556,0,0.471
Es gratis - Acústico,2022-09-11 16:24,Arnau Griso,731309,0GKlIuZcQCiv8bvWgRNiAb,203080,49,0.743
Escape My Mind,2023-01-12 13:28,Grace VanderWaal,196306,0O8YMwF6fUty67k61XN9W7,196306,42,0.731
Escúchame Loca,2022-10-07 10:03,Joshua Dietrich,394263,4a03WDAgf7bPwEHel88AFU,204187,0,0.602
Ese Maldito Momento,2022-09-11 13:12,No Te Va Gustar,746748,4xEAPLGnp20PYUlhbKHuTF,186306,0,0.637
