artist,album,track,uri
Jason Mraz,YES! (Commentary),It's So Hard to Say Goodbye to Yesterday - Commentary,spotify:track:2dxXki7lK7Pi3gdG7cn94d
Calle 13,Residente o Visitante,Un Beso de Desayuno,spotify:track:2uNfmuLRxi7974xmzdE9NL
Tan Bionica,40 Principales Pop & Rock Nacionales,La Comunidad,spotify:track:5FidzzZMtpr1Cg8aTAwTGi
Justin Bieber,Believe,All Around The World,spotify:track:45qSLEJKJTwKTSBOa8LxPY
Queen,Bohemian Rhapsody,Somebody To Love,spotify:track:5txoZyuAmtCfmDjUCEphWm
Fran Busso,Agua y Harina,La Negra,spotify:track:1BF32UAcyCUXvGFmwe54Bm
Bandalos Chinos,Isla,Isla,spotify:track:4itQ4aRHnlAhzmhcKW0uKk
Guasones,40 Principales Pop & Rock Nacionales,Reyes de la Noche,spotify:track:2Qk6mVTy6E1wkooaRbg7Hr
Coro Pascua Joven San Isidro,Nueva Mañana,No Pasará,spotify:track:0aq5tDFBjZIdWZ2dlUozem
Jason Mraz,YES! (Commentary),Quiet,spotify:track:5C1DKvqrab9YfhUNmiJGVf
Gustavo Cerati,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Crimen,spotify:track:2vxrPN0Tytx3RPsRgxpCvD
Bahiano,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Tarde Gris,spotify:track:6x1hsqTbt061bO7mpBvGIL
Imagine Dragons,Night Visions,Amsterdam,spotify:track:6nYD1UPZzBfnA9aL5TrWTc
Sublime Reggae Kings,Vintage Reggae Beats,Take My Breath Away,spotify:track:61Ww7yW5ShzLiPM0Z79mdk
Jason Mraz,We Sing. We Dance. We Steal Things.,Man Gave Names to All the Animals - From the Gospel Collection Sessions,spotify:track:2lxeD9NPeddR6LI5bmGfQw
Red Hot Chili Peppers,Californication,Emit Remmus,spotify:track:2xDHUsWEsH33sKbFqDZPFj
Train,Bulletproof Picasso,Give It All,spotify:track:5uC11u8X5qldYzVa3b6ODB
Paulo Londra,Chance,Chance,spotify:track:2SJZdZ5DLtlRosJ2xHJJJa
Calle 13,Residente o Visitante,Cumbia de los Aburridos,spotify:track:1ZeDhph4eTRaC8VICOBIpa
