trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability
10 mil,2022-10-17 20:36,Benjamín Amadeo,241546,0zdTOCAaRAlT99a3MQztg6,241546,43,0.695
24K Magic,2023-04-01 12:08,Bruno Mars,225983,2gFvRmQiWg9fN9i74Q0aiw,225983,66,0.818
512,2023-03-14 19:13,Mora,362707,5jzEwSyyymBlf1fa1o39T2,193636,78,0.818
7 Years,2023-02-26 00:46,Lukas Graham,243975,34jE97kETT7KynsR9dweWU,237353,0,0.74
ALMA DINAMITA - Live Set,2022-09-13 18:35,WOS,252071,22e93nNiMUPVqeNHh7FnrS,252071,48,0.44
ANDRÓMEDA,2022-06-07 18:16,WOS,4453245,4Pa73QAWSryyKavXNyVbUA,171475,0,0.666
ANIMAL,2022-06-17 16:08,ACRU,905095,06b0Au6pvZiO03eKTCvgWh,170981,56,0.617
ARRANCARMELO,2022-06-02 17:30,WOS,20002870,2x8oBuYaObjqHqgGuIUZ0b,183547,80,0.654
Abcdefg,2023-03-10 13:28,ROSALÍA,11439,5EbsCDXjzmwtHm70q87VHt,65961,49,0.627
Además de Mí - Remix,2022-06-05 01:20,Rusherking,1482,7I8L3vYCLThw2FDrE6LuzE,330040,71,0.397
Alive,2023-02-09 14:38,Ouska,146976,12VqHHz4wvVcnEdSivjLeQ,177413,56,0.386
All I Want for Christmas Is You,2022-12-24 18:08,Mariah Carey,241106,0bYg9bo50gSsH3LtXe2SQn,241106,68,0.336
Aloha,2022-08-22 20:19,Maluma,241659,5RAIMjdrCEjpjaR5tBATXU,241659,71,0.807
Amor Prohibido,2022-08-24 02:56,Selena,68057,1oXcxpTLTHOsaW0XmzSxCc,211584,35,0.701
Años Luz,2022-09-13 22:25,Nicki Nicole,422325,4SQFu2eDYHTD9DdRVG3vU3,193246,57,0.604
Aquel Nap ZzZz,2022-08-22 20:11,Rauw Alejandro,295038,2qyLvNLktrdc67OgaayqMW,295038,0,0.457
"Asan: Bzrp Music Sessions, Vol. 35",2022-11-27 20:40,Bizarrap,308362,5ZoYsrmeVPyJI4rhdBBJi1,154181,1,0.68
Aunque Ya No Estés Aquí,2022-09-23 23:29,FMK,8485,00sAoxFmsbUSU5Cn0RCxlV,206090,65,0.67
Avanti Morocha,2022-11-07 21:55,Los Caballeros De La Quema,670386,411J3pP54W1K9PMo72Fg2w,346800,61,0.663
Ayer Me Llamó Mi Ex – Remix,2022-11-27 21:42,KHEA,1160,59nnGpAU3AiL2tD0o2It11,256253,63,0.784
Azul y Oro (Freestyle),2022-11-28 12:25,Trueno,650,6qvjLYh374hUwDg7bSsxog,194705,0,0.736
BIEN O MAL,2022-09-12 17:59,Trueno,354818,4n0MBJuHpZ9dnD1BtsOIxB,176629,64,0.75
Bar,2022-10-17 22:31,TINI,379267,0lJE8f0lx8mUSfMyxeYpiC,160212,70,0.523
Billionaire (feat. Bruno Mars),2022-08-28 09:12,Travie McCoy,590122,2M9ULmQwTaTGmAdXaXpfz5,211160,75,0.633
Bolivia,2022-06-12 15:13,La Bomba de Tiempo,830555,2MuDW3QK1SAk35OnTnDLLp,240799,46,0.737
Budapest,2023-04-01 11:56,George Ezra,200733,2ixsaeFioXJmMgkkbd4uj1,200733,82,0.717
CAMBIANDO LA PIEL,2022-06-05 01:43,WOS,11714271,2y2iEADc8O0Vv5IKHSs21i,158121,65,0.744
CANGURO,2022-06-07 17:49,WOS,2797657,2UAWYufVaO3EnUUNzl0ppO,196745,68,0.602
CONTANDO OVEJAS,2022-06-11 19:42,WOS,6924294,47DL8jY6HJD2mlCcTuOWKX,203468,66,0.459
CONVOY JARANA,2022-06-07 18:10,WOS,3514106,09ZM0SFVkQauSIR5I3aj0g,158123,52,0.742
CULPA,2022-06-08 13:20,WOS,14015719,0BTJ7QpDRjinzAy8KQMAp8,215717,64,0.485
Caraluna,2022-10-17 21:11,Bacilos,266160,4XTMj7kd8DHLl0r7ghmEAr,266160,64,0.76
Carne y Hueso,2022-06-08 23:10,TINI,551556,3yeFTYLMz4nOtyPXWEMKsW,178309,67,0.582
Castle on the Hill,2022-10-17 18:04,Ed Sheeran,776396,6PCUP3dWmTjcTtXY02oFdT,261153,82,0.461
Clandestino,2023-02-13 16:09,Manu Chao,149173,7DrluKkTviBwCc8AV3VGmf,231920,70,0.766
Claramente,2022-09-13 16:05,Chano,1470,73vVORScUIi8QuYSO7dC47,160800,36,0.466
Closer,2022-11-05 15:40,The Chainsmokers,734880,3bt6XeVBFMczUKVVXIG00A,266116,0,0.796
Colocao,2022-07-12 21:43,Nicki Nicole,2389344,7MCFjPDImfjQv7GynHgVrR,179966,64,0.811
Cono hielo,2022-09-10 18:47,CA7RIEL,4742488,5SFlCuDJBOtpfrh1ue6uCt,177806,52,0.859
Contando Lunares (feat. Cruz Cafuné),2022-10-17 21:14,Don Patricio,118165,6uW0PIRcyZLvkoonm763xD,219666,70,0.856
Crimen,2023-01-06 22:40,Gustavo Cerati,9450,3oqWr0jDWNXxWufNogGREp,232026,75,0.537
Cristina (feat. Shelow Shaq),2023-05-21 07:09,Maffio,6455,2egI1hFZDAYrkCgtepoore,186893,60,0.861
Cuando Te Besé,2022-11-11 00:41,Becky G,117580,2XXMDz7SPZ4mSFN1PXfHUy,254383,69,0.772
Cuerpo en Venta,2022-08-07 05:08,Noriel,12515,2B94bbI1a4LyBpK1439oP7,254413,66,0.696
Cúrame,2023-02-09 19:35,Rauw Alejandro,91801,3PwRuzdphgedcWVUOVYJ7I,164705,4,0.765
DANCE CRIP,2022-06-05 01:26,Trueno,2830547,1kjs5eR4DMzyB0gm1Z8waV,165019,68,0.857
DUDADE,2022-09-10 20:56,Dillom,273568,1mjHyr9e7uP0QisX3y7a6T,123093,19,0.805
"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",2023-04-25 20:45,Bizarrap,137365,1jKq6jcjPAd2awwuYiPswp,137365,53,0.924
"Dani Ribba: Bzrp Music Sessions, Vol. 24",2023-04-23 20:58,Bizarrap,346502,6TNuRFdNazLbbVQTRE8pZg,173251,1,0.913
De Música Ligera (SEP7IMO DIA),2023-01-22 15:01,Soda Stereo,113964,0v1p6H03NUVHhOu3nXD7GC,349026,48,0.581
